,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
1027,13833,180,60,184566.6667,37013.14,35059.55
1028,13835,50,40,124600.0,20982.75,20289.5
1029,13838,170,90,134230.0,23130.19,22128.17
1030,13839,50,0,149366.6667,26951.42,25553.5
1031,13843,60,0,136250.0,23724.42,22421.5
1032,13849,200,140,172953.8462,32138.2,30465.62
1033,13850,1720,70,138393.5252,23983.76,23057.45
1034,13856,200,1190,138069.2308,23753.49,22192.12
1035,13861,40,0,177766.6667,33718.08,31713.5
1036,13862,200,80,152657.1429,28433.92,26637.76
1037,13864,40,20,132366.6667,23544.75,22185.5
1038,13865,270,240,129364.7059,22296.82,21068.84
1039,13901,980,60,133775.3425,23259.51,22015.3
1040,13903,860,120,136947.7612,23766.29,22739.81
1041,13904,340,160,132581.8182,23313.68,21935.8
1042,13905,960,0,135900.0,23644.49,22505.9
1043,14001,640,0,131382.6923,22608.4,21402.0
1044,14004,820,50,131554.5455,22660.31,21486.27
1045,14005,100,0,134400.0,23747.75,22314.64
1046,14006,520,70,131415.3846,22816.62,21735.25
1047,14008,80,0,175050.0,34427.42,32069.5
1048,14009,250,120,136352.9412,23877.54,22469.63
1049,14011,330,60,129962.5,22570.3,21260.86
1050,14012,110,110,142714.2857,25665.28,24002.53
1051,14013,70,130,203950.0,42321.63,40775.72
1052,14020,960,0,132944.1176,23033.79,21800.87
1053,14024,70,20,143975.0,25880.42,24715.5
1054,14025,270,40,134840.9091,23254.64,22207.78
1055,14026,60,0,146480.0,26094.15,25262.7
1056,14028,110,0,164744.4444,30641.25,29143.88
1057,14030,70,50,149380.0,27814.75,25631.1
1058,14031,820,120,138153.6232,23366.16,22547.12
1059,14032,940,690,143101.2048,24504.55,23660.1
1060,14033,220,30,136963.1579,23846.67,22711.66
1061,14034,90,0,129016.6667,21771.42,20494.3
1062,14036,300,40,125095.8333,21152.63,20016.5
1063,14037,100,620,154900.0,27951.75,26932.93
1064,14040,160,650,166669.2308,31888.16,29989.92
1065,14042,120,920,151912.5,28321.75,26361.64
1066,14043,1250,0,131002.0408,22920.57,21657.76
1067,14047,430,180,135914.7059,23813.33,22718.18
1068,14048,440,130,134212.5,24074.57,22411.41
1069,14051,2550,50,141978.5088,24490.18,23655.31
1070,14052,1840,40,137777.1605,23771.19,22800.14
1071,14054,70,100,150533.3333,27818.48,26212.7
1072,14055,100,60,144137.5,25620.58,24148.79
1073,14057,700,0,133587.93099999998,23258.77,22132.42
1074,14058,130,20,178777.7778,33558.42,32121.25
1075,14059,980,380,135212.5,23055.97,22076.7
1076,14062,160,90,152136.3636,27800.04,26290.49
1077,14063,730,260,136429.3103,23851.79,22689.98
1078,14065,40,50,110333.3333,17691.25,16441.5
1079,14067,300,0,129869.5652,22305.76,21092.6
1080,14068,800,110,141101.4286,24570.77,23562.27
1081,14069,90,210,137737.5,24590.25,23029.93
1082,14070,190,80,166708.3333,31833.9,29712.3
1083,14072,2200,70,136635.4167,23544.15,22596.06
1084,14075,3670,0,135400.6472,23575.94,22470.98
1085,14080,330,180,136446.1538,24311.08,22797.58
1086,14081,110,0,170312.5,31589.58,30513.07
1087,14085,890,0,136326.25,23745.7,22528.26
1088,14086,3640,70,136889.4737,23734.56,22720.1
1089,14091,50,0,123350.0,20124.08,19581.5
1090,14092,980,50,134021.0526,23102.57,21968.08
1091,14094,2900,160,133894.8052,23229.53,22103.74
1092,14098,130,50,153410.0,28677.85,27017.57
1093,14101,60,50,135900.0,23991.35,23041.5
1094,14102,140,50,166033.3333,31229.6,29739.61
1095,14103,380,30,136373.0769,23895.47,22585.04
1096,14105,180,40,134207.6923,23850.6,22299.35
1097,14108,310,30,132052.1739,23260.49,21854.02
1098,14111,190,70,110140.0,16482.07,16537.25
1099,14113,40,60,134166.6667,24193.42,22653.5
1100,14120,3140,0,135361.7761,23560.09,22459.84
1101,14125,200,60,159157.1429,29876.19,27922.51
1102,14127,3180,50,140394.1606,24001.16,23283.2
1103,14129,60,450,121500.0,19862.75,19049.5
1104,14131,340,30,135396.1538,23722.67,22389.45
1105,14132,390,0,130115.625,22276.01,21100.36
1106,14136,200,70,135000.0,24182.13,22523.1
1107,14138,60,110,150825.0,28293.08,26303.5
1108,14139,200,420,132625.0,22960.88,21805.04
1109,14141,430,0,133481.25,23320.83,21983.25
1110,14143,80,0,161866.6667,29029.95,28843.9
1111,14145,100,50,142875.0,25840.42,24266.93
1112,14150,2040,470,129159.589,22663.85,21231.29
1113,14167,90,60,145766.6667,26966.35,25102.3
1114,14170,190,20,132335.2941,22469.17,21579.57
1115,14171,90,0,140675.0,24981.75,23920.07
1116,14172,220,50,136694.4444,24116.97,22875.27
1117,14174,520,20,139688.3721,24664.46,23323.02
1118,14201,220,140,133673.3333,23073.36,21696.37
1119,14202,190,20,143706.6667,24894.71,23522.89
